Database,SiteName,EntranceCounters,FlowCounters,CrossOverCounters,InterLevelCounters,Undefined,
centranorte - Copy.db,centranorte,11,1,0,0,0,
centranorte.db,centranorte,11,1,0,0,0,
chinook - Copy.db,Chinook,24,20,7,2,0,
chinook.db,Chinook,24,20,7,2,0,
demo - Copy.db,Sunny Acres,4,5,0,0,0,
demo.db,Sunny Acres,4,5,0,0,0,
Great North - Copy.db,Great North,3,1,0,0,0,
Great North.db,Great North,3,1,0,0,0,
greenstonemall - Copy.db,Greenstone Mall,12,0,0,0,0,
greenstonemall.db,Greenstone Mall,12,0,0,0,0,
heroncityvalencia - Copy.db,HERON CITY VALENCIA,6,0,0,0,0,
heroncityvalencia.db,HERON CITY VALENCIA,6,0,0,0,0,
mallofnamibia - Copy.db,The Grove - Mall of Namibia,8,0,0,0,0,
mallofnamibia.db,The Grove - Mall of Namibia,8,0,0,0,0,
Mr Price Apparel Canal Walk MRP0401 - Copy.db,Mr Price Apparel Canal Walk MRP0401,1,0,0,0,0,
Mr Price Apparel Canal Walk MRP0401.db,Mr Price Apparel Canal Walk MRP0401,1,0,0,0,0,
Mr Price Apparel Gateway MRP0445 - Copy.db,Mr Price Apparel Gateway MRP0445,1,0,0,0,0,
Mr Price Apparel Gateway MRP0445.db,Mr Price Apparel Gateway MRP0445,1,0,0,0,0,
Mr Price Apparel MRP0148 - Copy.db,Mr Price Apparel Pavilion MRP0148,1,0,0,0,0,
Mr Price Apparel MRP0148.db,Mr Price Apparel Pavilion MRP0148,1,0,0,0,0,
murchisonmall - Copy.db,Murchison Mall,4,3,0,0,0,
murchisonmall.db,Murchison Mall,4,3,0,0,0,
polopark - Copy.db,Polo Park,19,8,6,0,0,
polopark.db,Polo Park,19,8,6,0,0,
qcc - Copy.db,QCC,4,0,2,0,0,
qcc.db,QCC,4,0,2,0,0,
secunda - Copy.db,Secunda,8,0,0,0,0,
secunda.db,Secunda,8,0,0,0,0,
suncoastcasino - Copy.db,Sun Coast Casino,6,12,0,0,0,
suncoastcasino.db,Sun Coast Casino,6,12,0,0,0,
theglen - Copy.db,The Glen,18,3,0,0,0,
theglen.db,The Glen,18,3,0,0,0,
villagesquare - Copy.db,Village Square,4,0,0,0,0,
villagesquare.db,Village Square,4,0,0,0,0,
vincentpark - Copy.db,vincentpark,7,7,0,0,0,
vincentpark.db,vincentpark,7,7,0,0,0,
wonderpark - Copy (2).db,WonderPark,14,1,0,0,0,
wonderpark - Copy - Copy.db,WonderPark,14,1,0,0,0,
wonderpark - Copy.db,WonderPark,14,1,0,0,0,
wonderpark.db,WonderPark,14,1,0,0,0,
